,False,Cov,sample
,30,1,s1
,5,2,s1
,4,3,s1
,5,4,s1
,2,5,s1
,2,6,s1
,1,7,s1
,1,9,s1
,2,12,s1
,1,16,s1
,1,17,s1
,1,20,s1
,1,21,s1
,1,47,s1
,1,2854,s1

,25,1,s2
,4,2,s2
,2,4,s2
,1,5,s2
,1,6,s2
,1,8,s2
,2,9,s2
,1,10,s2
,1,11,s2
,2,12,s2
,1,14,s2
,1,24,s2
,1,245,s2

,26,1,s3
,1,2,s3
,3,3,s3
,1,5,s3
,2,7,s3
,2,8,s3
,2,9,s3
,1,22,s3
,1,23,s3
,1,32,s3
,1,50,s3
,1,770,s3
,1,1631,s3

,35,1,s4
,5,2,s4
,7,3,s4
,4,4,s4
,2,6,s4
,1,8,s4
,2,11,s4
,1,12,s4
,1,15,s4
,1,16,s4
,1,25,s4
,1,34,s4
,1,38,s4
,1,50,s4
,1,110,s4
,1,180,s4

,34,1,s5
,6,2,s5
,3,3,s5
,1,4,s5
,1,5,s5
,4,7,s5
,1,8,s5
,3,9,s5
,1,10,s5
,2,13,s5
,2,14,s5
,1,16,s5
,1,18,s5
,1,19,s5
,1,116,s5

,40,1,s6
,7,2,s6
,6,3,s6
,3,4,s6
,4,5,s6
,3,6,s6
,2,7,s6
,1,8,s6
,2,9,s6
,1,10,s6
,1,12,s6
,1,14,s6
,1,16,s6
,1,17,s6
,1,19,s6
,1,21,s6
,1,47,s6

,33,1,s7
,5,2,s7
,7,3,s7
,3,4,s7
,6,5,s7
,2,6,s7
,1,7,s7
,1,10,s7
,2,11,s7
,1,12,s7
,1,13,s7
,1,15,s7
,1,16,s7
,1,21,s7
,1,40,s7
,1,46,s7
,1,71,s7
,1,109,s7

,25,1,s8
,1,2,s8
,2,4,s8
,2,8,s8
,1,10,s8
,1,17,s8
,1,36,s8
,1,37,s8
,1,65,s8
,1,339,s8
,1,525,s8

,36,1,s9
,8,2,s9
,7,3,s9
,2,4,s9
,2,5,s9
,1,6,s9
,2,9,s9
,1,10,s9
,1,12,s9
,1,13,s9
,1,20,s9
,1,21,s9
,1,30,s9
,1,51,s9
,1,83,s9
,1,89,s9
,1,140,s9

,25,1,s10
,3,2,s10
,3,3,s10
,2,4,s10
,1,5,s10
,1,9,s10
,1,23,s10
,1,26,s10
,1,200,s10
