contig,candidat,start,stop,depth,border,nb,nb,nb,filter,lcontig,Candidat,lCd,Critere_lCd,DPratio,Critere_DP,RI,Critere_RI,JC,Critere_JC
AT5G06645.1|82|530,AT5G06645.1,82,530,1,GG_GT,39.6,15.599109131403118,37.4,SS;RDP,617,False,448,lCd,0.202586,DP,0.726094,RI,0,Junctions
AT3G49430.5|123|220,AT3G49430.5,123,220,2,TC_AC,6939.9,7212.632653061224,7462.5,SS;RDP,2217,False,97,lCd,0.500794,DP,0.0437528,RI,0,Junctions
AT4G25400.2|738|790,AT4G25400.2,738,790,12,TT_CT,2350.5,2430.5283018867926,2541.0,SS;RDP,1009,False,52,lCd,0.496888,DP,0.0515362,RI,0,Junctions
AT1G02100.3.modif|935|1128,AT1G02100.3.modif,935,1128,12,GT_AG,10.7,1.0,12.2,PASS,1915,True,193,lCd,0.0436681,DP,0.100783,RI,1,Junctions
AT1G03210.2.modif|273|414,AT1G03210.2.modif,273,414,14,GT_AG,12.2,0.014084507042253521,15.1,PASS,1337,True,141,lCd,0.000515916,DP,0.10546,RI,1,Junctions
AT1G09170.6|2177|2314,AT1G09170.6,2177,2314,21,GT_AG,23.9,7.565217391304348,23.3,RDP,3731,False,137,lCd,0.16028,DP,0.0367194,RI,1,Junctions
AT1G09170.6|2479|2573,AT1G09170.6,2479,2573,1,GT_AG,15.0,11.042105263157895,17.5,RDP,3731,False,94,lCd,0.339757,DP,0.0251943,RI,1,Junctions
AT1G09170.6|2775|2875,AT1G09170.6,2775,2875,17,GT_AG,16.6,3.0,19.8,PASS,3731,False,100,lCd,0.0824176,DP,0.0268025,RI,1,Junctions
AT1G12520.3.modif|584|885,AT1G12520.3.modif,584,885,9,GT_AG,9.3,1.0,9.0,PASS,1547,True,301,lCd,0.0546448,DP,0.19457,RI,1,Junctions
AT1G15150.2.modif|1341|1431,AT1G15150.2.modif,1341,1431,12,GT_AG,16.7,1.0,17.6,PASS,2356,True,90,lCd,0.0291545,DP,0.0382003,RI,1,Junctions
AT1G15840.1.modif|330|349,AT1G15840.1.modif,330,349,80,GT_AG,67.2,1.0,75.5,PASS,943,True,19,lCd,0.00700771,DP,0.0201485,RI,1,Junctions
AT1G16190.2.modif|953|1029,AT1G16190.2.modif,953,1029,17,GT_AG,15.7,1.0,18.2,PASS,1789,True,76,lCd,0.0294985,DP,0.0424818,RI,1,Junctions
AT1G18730.3.modif|311|410,AT1G18730.3.modif,311,410,302,GT_AG,230.4,2.03,257.6,PASS,769,True,99,lCd,0.00415984,DP,0.128739,RI,1,Junctions
AT1G18950.2|1452|2325,AT1G18950.2,1452,2325,1,CT_AC,29.4,38.391304347826086,30.4,RDP,3192,False,873,lCd,0.641995,DP,0.273496,RI,1,Junctions
AT1G20620.5.modif|2475|2573,AT1G20620.5.modif,2475,2573,179,GT_AG,149.0,2.0,170.4,PASS,3058,True,98,lCd,0.00626174,DP,0.0320471,RI,1,Junctions
AT1G23520.2.modif|753|861,AT1G23520.2.modif,753,861,16,GT_AG,16.1,1.0,16.0,PASS,1317,True,108,lCd,0.0311526,DP,0.0820046,RI,1,Junctions
